encoder,scenario,seed,round,target,test_acc,test_f1_macro,uplink_bytes,downlink_bytes
resnetse5,1,3,11,KuHar,0.6015625,0.4938939722204694,3290784,3290784
resnetse5,1,3,11,MotionSense,0.716796875,0.6626412566399059,3290784,3290784
resnetse5,1,3,11,RealWorld_thigh,0.6659722222222222,0.619230259107762,3290784,3290784
resnetse5,1,3,11,RealWorld_waist,0.6609375,0.6055542522290613,3290784,3290784
resnetse5,1,3,11,UCI,0.6671875,0.6054230227607297,3290784,3290784
resnetse5,1,3,11,WISDM,0.675390625,0.4162320081518384,3290784,3290784
resnetse5,1,3,12,KuHar,0.59375,0.478904324187343,3290784,3290784
resnetse5,1,3,12,MotionSense,0.689453125,0.6342133550398469,3290784,3290784
resnetse5,1,3,12,RealWorld_thigh,0.6444444444444445,0.5967338845088881,3290784,3290784
resnetse5,1,3,12,RealWorld_waist,0.6234375,0.5536145721172137,3290784,3290784
resnetse5,1,3,12,UCI,0.653125,0.5936838802899306,3290784,3290784
resnetse5,1,3,12,WISDM,0.690625,0.4215600669048261,3290784,3290784
resnetse5,1,3,13,KuHar,0.59375,0.478904324187343,3290784,3290784
resnetse5,1,3,13,MotionSense,0.7099609375,0.6567419462198693,3290784,3290784
resnetse5,1,3,13,RealWorld_thigh,0.6652777777777777,0.61949707070551,3290784,3290784
resnetse5,1,3,13,RealWorld_waist,0.63984375,0.5746654585838259,3290784,3290784
resnetse5,1,3,13,UCI,0.6859375,0.6229571270842869,3290784,3290784
resnetse5,1,3,13,WISDM,0.66953125,0.412656287060791,3290784,3290784
resnetse5,1,3,14,KuHar,0.5859375,0.46176046176046176,3290784,3290784
resnetse5,1,3,14,MotionSense,0.6787109375,0.6260532654086881,3290784,3290784
resnetse5,1,3,14,RealWorld_thigh,0.6694444444444444,0.6501959057543912,3290784,3290784
resnetse5,1,3,14,RealWorld_waist,0.614453125,0.5391887248366182,3290784,3290784
resnetse5,1,3,14,UCI,0.6359375,0.5775034931873141,3290784,3290784
resnetse5,1,3,14,WISDM,0.698828125,0.42877283458209564,3290784,3290784
resnetse5,1,3,15,KuHar,0.59375,0.478904324187343,3290784,3290784
resnetse5,1,3,15,MotionSense,0.6953125,0.6406128035696157,3290784,3290784
resnetse5,1,3,15,RealWorld_thigh,0.6611111111111111,0.6157960526263496,3290784,3290784
resnetse5,1,3,15,RealWorld_waist,0.640234375,0.5777893549240185,3290784,3290784
resnetse5,1,3,15,UCI,0.6703125,0.6083775017248112,3290784,3290784
resnetse5,1,3,15,WISDM,0.68125,0.41846139314462844,3290784,3290784
resnetse5,1,3,16,KuHar,0.6015625,0.4928037539802246,3290784,3290784
resnetse5,1,3,16,MotionSense,0.71875,0.6702279360537892,3290784,3290784
resnetse5,1,3,16,RealWorld_thigh,0.6791666666666667,0.6344393690965032,3290784,3290784
resnetse5,1,3,16,RealWorld_waist,0.637890625,0.5715039912549158,3290784,3290784
resnetse5,1,3,16,UCI,0.684375,0.6208226185874149,3290784,3290784
resnetse5,1,3,16,WISDM,0.6640625,0.4113398067891288,3290784,3290784
resnetse5,1,3,17,KuHar,0.59375,0.478904324187343,3290784,3290784
resnetse5,1,3,17,MotionSense,0.6630859375,0.6109788949711917,3290784,3290784
resnetse5,1,3,17,RealWorld_thigh,0.6395833333333333,0.5946125858810345,3290784,3290784
resnetse5,1,3,17,RealWorld_waist,0.603515625,0.5209313926827456,3290784,3290784
resnetse5,1,3,17,UCI,0.6140625,0.5560088285877748,3290784,3290784
resnetse5,1,3,17,WISDM,0.696875,0.4239594562208227,3290784,3290784
resnetse5,1,3,18,KuHar,0.5859375,0.4568783068783069,3290784,3290784
resnetse5,1,3,18,MotionSense,0.6806640625,0.6265651995598115,3290784,3290784
resnetse5,1,3,18,RealWorld_thigh,0.6524305555555555,0.6059678458680974,3290784,3290784
resnetse5,1,3,18,RealWorld_waist,0.634765625,0.5707306871361011,3290784,3290784
resnetse5,1,3,18,UCI,0.68125,0.6189182509776989,3290784,3290784
resnetse5,1,3,18,WISDM,0.70078125,0.42757360302983605,3290784,3290784
resnetse5,1,3,19,KuHar,0.5859375,0.4568783068783069,3290784,3290784
resnetse5,1,3,19,MotionSense,0.67578125,0.6203864626798999,3290784,3290784
resnetse5,1,3,19,RealWorld_thigh,0.6423611111111112,0.594280819882527,3290784,3290784
resnetse5,1,3,19,RealWorld_waist,0.63984375,0.5775633111354989,3290784,3290784
resnetse5,1,3,19,UCI,0.6953125,0.6313594362858941,3290784,3290784
resnetse5,1,3,19,WISDM,0.70546875,0.42742476762073855,3290784,3290784
resnetse5,1,3,20,KuHar,0.59375,0.47776539080886904,3290784,3290784
resnetse5,1,3,20,MotionSense,0.70703125,0.6509576717985164,3290784,3290784
resnetse5,1,3,20,RealWorld_thigh,0.6760416666666667,0.6316914305555598,3290784,3290784
resnetse5,1,3,20,RealWorld_waist,0.649609375,0.5895895187000262,3290784,3290784
resnetse5,1,3,20,UCI,0.6953125,0.6312722665321201,3290784,3290784
resnetse5,1,3,20,WISDM,0.68359375,0.41865654159147736,3290784,3290784
resnetse5,1,3,21,KuHar,0.59375,0.4679408687897652,3290784,3290784
resnetse5,1,3,21,MotionSense,0.720703125,0.6695020716306131,3290784,3290784
resnetse5,1,3,21,RealWorld_thigh,0.6934027777777778,0.6498842584511708,3290784,3290784
resnetse5,1,3,21,RealWorld_waist,0.661328125,0.6054734397158547,3290784,3290784
resnetse5,1,3,21,UCI,0.7265625,0.6589667855044796,3290784,3290784
resnetse5,1,3,21,WISDM,0.6453125,0.4009828283636801,3290784,3290784
resnetse5,1,3,22,KuHar,0.59375,0.47585773703420764,3290784,3290784
resnetse5,1,3,22,MotionSense,0.693359375,0.6334719595803635,3290784,3290784
resnetse5,1,3,22,RealWorld_thigh,0.6618055555555555,0.6148566953724505,3290784,3290784
resnetse5,1,3,22,RealWorld_waist,0.651171875,0.5916044662514325,3290784,3290784
resnetse5,1,3,22,UCI,0.6984375,0.633697201312488,3290784,3290784
resnetse5,1,3,22,WISDM,0.68125,0.415991751667345,3290784,3290784
resnetse5,1,3,23,KuHar,0.609375,0.512082518542008,3290784,3290784
resnetse5,1,3,23,MotionSense,0.689453125,0.6328713512238672,3290784,3290784
resnetse5,1,3,23,RealWorld_thigh,0.65625,0.6121535830750372,3290784,3290784
resnetse5,1,3,23,RealWorld_waist,0.627734375,0.5593948278985875,3290784,3290784
resnetse5,1,3,23,UCI,0.6796875,0.6170431332074217,3290784,3290784
resnetse5,1,3,23,WISDM,0.686328125,0.41959965782167363,3290784,3290784
resnetse5,1,3,24,KuHar,0.6015625,0.4918660775377193,3290784,3290784
resnetse5,1,3,24,MotionSense,0.701171875,0.6455942814209586,3290784,3290784
resnetse5,1,3,24,RealWorld_thigh,0.6694444444444444,0.6265619115115645,3290784,3290784
resnetse5,1,3,24,RealWorld_waist,0.63203125,0.5636013142610413,3290784,3290784
resnetse5,1,3,24,UCI,0.7203125,0.6535122725713507,3290784,3290784
resnetse5,1,3,24,WISDM,0.6828125,0.4192241325721784,3290784,3290784
resnetse5,1,3,25,KuHar,0.59375,0.476750109793588,3290784,3290784
resnetse5,1,3,25,MotionSense,0.6728515625,0.6140353469927371,3290784,3290784
resnetse5,1,3,25,RealWorld_thigh,0.65,0.6033564862651398,3290784,3290784
resnetse5,1,3,25,RealWorld_waist,0.64140625,0.5783320216207076,3290784,3290784
resnetse5,1,3,25,UCI,0.703125,0.638306394663666,3290784,3290784
resnetse5,1,3,25,WISDM,0.699609375,0.42478786442920935,3290784,3290784
resnetse5,1,3,26,KuHar,0.59375,0.4767768179532885,3290784,3290784
resnetse5,1,3,26,MotionSense,0.6953125,0.6385042501756005,3290784,3290784
resnetse5,1,3,26,RealWorld_thigh,0.6569444444444444,0.6121675527426416,3290784,3290784
resnetse5,1,3,26,RealWorld_waist,0.63515625,0.5693403207328873,3290784,3290784
resnetse5,1,3,26,UCI,0.7078125,0.6423716210714249,3290784,3290784
resnetse5,1,3,26,WISDM,0.68984375,0.42159932891957136,3290784,3290784
resnetse5,1,3,27,KuHar,0.6015625,0.4986571598336304,3290784,3290784
resnetse5,1,3,27,MotionSense,0.6923828125,0.6330185936313096,3290784,3290784
resnetse5,1,3,27,RealWorld_thigh,0.6604166666666667,0.6147644761544994,3290784,3290784
resnetse5,1,3,27,RealWorld_waist,0.637109375,0.5725147274250363,3290784,3290784
resnetse5,1,3,27,UCI,0.70625,0.6410974608699945,3290784,3290784
resnetse5,1,3,27,WISDM,0.691015625,0.4214784973586608,3290784,3290784
resnetse5,1,3,28,KuHar,0.6015625,0.4918660775377193,3290784,3290784
resnetse5,1,3,28,MotionSense,0.6884765625,0.6273697976420617,3290784,3290784
resnetse5,1,3,28,RealWorld_thigh,0.6607638888888889,0.6138355047390794,3290784,3290784
resnetse5,1,3,28,RealWorld_waist,0.636328125,0.5681249746192046,3290784,3290784
resnetse5,1,3,28,UCI,0.7234375,0.6564927624726595,3290784,3290784
resnetse5,1,3,28,WISDM,0.686328125,0.41775516422978914,3290784,3290784
resnetse5,1,3,29,KuHar,0.6015625,0.4928037539802246,3290784,3290784
resnetse5,1,3,29,MotionSense,0.6904296875,0.6325557825009259,3290784,3290784
resnetse5,1,3,29,RealWorld_thigh,0.6489583333333333,0.6036856606308006,3290784,3290784
resnetse5,1,3,29,RealWorld_waist,0.6359375,0.5714099348173128,3290784,3290784
resnetse5,1,3,29,UCI,0.7203125,0.6535529991918232,3290784,3290784
resnetse5,1,3,29,WISDM,0.702734375,0.4262771861316583,3290784,3290784
resnetse5,1,3,30,KuHar,0.609375,0.49906565656565655,3290784,3290784
resnetse5,1,3,30,MotionSense,0.71875,0.6663737823237978,3290784,3290784
resnetse5,1,3,30,RealWorld_thigh,0.6857638888888888,0.6429336605506527,3290784,3290784
resnetse5,1,3,30,RealWorld_waist,0.635546875,0.5702680631850475,3290784,3290784
resnetse5,1,3,30,UCI,0.7328125,0.6660095824240525,3290784,3290784
resnetse5,1,3,30,WISDM,0.653515625,0.40720804922614134,3290784,3290784
resnetse5,1,3,31,KuHar,0.609375,0.504087024087024,3290784,3290784
resnetse5,1,3,31,MotionSense,0.693359375,0.6383646671803851,3290784,3290784
resnetse5,1,3,31,RealWorld_thigh,0.6520833333333333,0.607473727060932,3290784,3290784
resnetse5,1,3,31,RealWorld_waist,0.63828125,0.5733161016227515,3290784,3290784
resnetse5,1,3,31,UCI,0.7234375,0.6559445921759223,3290784,3290784
resnetse5,1,3,31,WISDM,0.67265625,0.4128356915993269,3290784,3290784
resnetse5,1,3,32,KuHar,0.59375,0.47585773703420764,3290784,3290784
resnetse5,1,3,32,MotionSense,0.6796875,0.6128940165569275,3290784,3290784
resnetse5,1,3,32,RealWorld_thigh,0.6347222222222222,0.5814119392423982,3290784,3290784
resnetse5,1,3,32,RealWorld_waist,0.643359375,0.5845365845462659,3290784,3290784
resnetse5,1,3,32,UCI,0.7140625,0.6479556230994509,3290784,3290784
resnetse5,1,3,32,WISDM,0.7078125,0.42959499294685566,3290784,3290784
resnetse5,1,3,33,KuHar,0.6015625,0.4910778110778111,3290784,3290784
