epoch,step,train_loss,val_loss
0,55,,22.57269287109375
0,55,18.291913986206055,
1,111,,22.484039306640625
1,111,15.79426097869873,
2,167,,21.57933807373047
2,167,14.871016502380371,
3,223,,21.04180908203125
3,223,13.733702659606934,
4,279,,20.193103790283203
4,279,12.811847686767578,
5,335,,19.529489517211914
5,335,12.057262420654297,
6,391,,19.100963592529297
6,391,11.508983612060547,
7,447,,18.785913467407227
7,447,11.066006660461426,
8,503,,18.456384658813477
8,503,10.846125602722168,
9,559,,18.269195556640625
9,559,10.656102180480957,
10,615,,18.292072296142578
10,615,10.401169776916504,
11,671,,17.96720314025879
11,671,10.230942726135254,
12,727,,17.75840950012207
12,727,10.087096214294434,
13,783,,17.555789947509766
13,783,9.951069831848145,
14,839,,18.056713104248047
14,839,9.835610389709473,
15,895,,17.482393264770508
15,895,9.74836540222168,
16,951,,17.490751266479492
16,951,9.676934242248535,
17,1007,,17.629234313964844
17,1007,9.568263053894043,
18,1063,,17.646507263183594
18,1063,9.487407684326172,
19,1119,,17.363536834716797
19,1119,9.41702938079834,
20,1175,,17.561649322509766
20,1175,9.393304824829102,
21,1231,,17.362497329711914
21,1231,9.34499454498291,
22,1287,,17.31924819946289
22,1287,9.305130004882812,
23,1343,,17.121238708496094
23,1343,9.207643508911133,
24,1399,,17.17308235168457
24,1399,9.170084953308105,
25,1455,,17.509740829467773
25,1455,9.166487693786621,
26,1511,,17.466697692871094
26,1511,9.117247581481934,
27,1567,,17.176050186157227
27,1567,9.108348846435547,
28,1623,,17.144237518310547
28,1623,9.061171531677246,
29,1679,,17.38251495361328
29,1679,8.985252380371094,
30,1735,,17.641353607177734
30,1735,8.991598129272461,
31,1791,,17.41339111328125
31,1791,8.961905479431152,
32,1847,,17.155357360839844
32,1847,8.888493537902832,
33,1903,,17.095121383666992
33,1903,8.902569770812988,
34,1959,,17.222373962402344
34,1959,8.871661186218262,
35,2015,,17.08342742919922
35,2015,8.859959602355957,
36,2071,,17.393770217895508
36,2071,8.89759635925293,
37,2127,,17.381038665771484
37,2127,8.828618049621582,
38,2183,,17.411767959594727
38,2183,8.83129596710205,
39,2239,,17.468870162963867
39,2239,8.758517265319824,
40,2295,,17.287736892700195
40,2295,8.772351264953613,
41,2351,,17.391122817993164
41,2351,8.748464584350586,
42,2407,,17.21881675720215
42,2407,8.718354225158691,
43,2463,,17.210803985595703
43,2463,8.680173873901367,
44,2519,,17.663301467895508
44,2519,8.682583808898926,
45,2575,,17.62884521484375
45,2575,8.691214561462402,
46,2631,,17.59646224975586
46,2631,8.677826881408691,
47,2687,,17.405088424682617
47,2687,8.647391319274902,
48,2743,,17.663896560668945
48,2743,8.645829200744629,
49,2799,,17.573822021484375
49,2799,8.601445198059082,
50,2855,,17.65855598449707
50,2855,8.596916198730469,
51,2911,,17.527982711791992
51,2911,8.589824676513672,
52,2967,,17.422801971435547
52,2967,8.605851173400879,
53,3023,,17.631515502929688
53,3023,8.57426643371582,
54,3079,,17.187061309814453
54,3079,8.571307182312012,
55,3135,,17.462053298950195
55,3135,8.542973518371582,
56,3191,,17.669824600219727
56,3191,8.515177726745605,
57,3247,,17.24199867248535
57,3247,8.565017700195312,
58,3303,,17.31732749938965
58,3303,8.508968353271484,
59,3359,,17.421876907348633
59,3359,8.519594192504883,
60,3415,,17.594385147094727
60,3415,8.487821578979492,
61,3471,,17.56660270690918
61,3471,8.498855590820312,
62,3527,,17.682540893554688
62,3527,8.468576431274414,
63,3583,,17.630611419677734
63,3583,8.507854461669922,
64,3639,,17.67455291748047
64,3639,8.464727401733398,
65,3695,,17.87717628479004
65,3695,8.465682983398438,
66,3751,,17.590229034423828
66,3751,8.441884994506836,
67,3807,,17.551010131835938
67,3807,8.449357986450195,
68,3863,,17.624862670898438
68,3863,8.453461647033691,
69,3919,,17.372779846191406
69,3919,8.413704872131348,
70,3975,,17.8270320892334
70,3975,8.399645805358887,
71,4031,,17.360015869140625
71,4031,8.401310920715332,
72,4087,,17.690404891967773
72,4087,8.39130973815918,
73,4143,,17.776025772094727
73,4143,8.401490211486816,
74,4199,,17.987550735473633
74,4199,8.391998291015625,
75,4255,,17.68324089050293
75,4255,8.359912872314453,
76,4311,,17.669052124023438
76,4311,8.34996509552002,
77,4367,,17.874542236328125
77,4367,8.364319801330566,
78,4423,,17.66777992248535
78,4423,8.376028060913086,
79,4479,,17.94959259033203
79,4479,8.37436294555664,
80,4535,,17.84408950805664
80,4535,8.356999397277832,
81,4591,,17.701274871826172
81,4591,8.350547790527344,
82,4647,,17.78620719909668
82,4647,8.38775634765625,
83,4703,,17.969417572021484
83,4703,8.355531692504883,
84,4759,,17.732393264770508
84,4759,8.323095321655273,
85,4815,,17.744150161743164
85,4815,8.322652816772461,
86,4871,,17.634403228759766
86,4871,8.315515518188477,
87,4927,,17.731557846069336
87,4927,8.311314582824707,
88,4983,,17.718122482299805
88,4983,8.293695449829102,
89,5039,,17.44126319885254
89,5039,8.307805061340332,
90,5095,,17.660505294799805
90,5095,8.29644775390625,
91,5151,,17.664079666137695
91,5151,8.288333892822266,
92,5207,,17.75052261352539
92,5207,8.296354293823242,
93,5263,,17.94402503967285
93,5263,8.302597045898438,
94,5319,,17.799596786499023
94,5319,8.32515811920166,
95,5375,,18.169658660888672
95,5375,8.288369178771973,
96,5431,,17.787748336791992
96,5431,8.298453330993652,
97,5487,,17.82425308227539
97,5487,8.287725448608398,
98,5543,,17.824125289916992
98,5543,8.252731323242188,
99,5599,,17.93651580810547
99,5599,8.312124252319336,
