metodo,encoder,n,mediana,p,rbc,pos,p_bonf,sig
LFR,resnetse5,30,1.71630859375,0.0037603747180120694,0.6120689655172413,22,0.030082997744096555,SSL vence
LFR,cnnpff,30,0.33935546875,0.13585603915402655,0.3118279569892473,19,1.0,n.s.
LFR,rnn,30,2.921549479166668,0.0002562887966632843,0.7247311827956989,21,0.0020503103733062744,SSL vence
LFR,tstcc,30,3.428819444444443,1.4927876950746346e-05,0.9053763440860215,27,0.00011942301560597076,SSL vence
TF-C,resnetse5,30,1.8706597222222214,0.022098854184150696,0.4752688172043011,19,0.17679083347320557,n.s.
TF-C,cnnpff,30,5.55419921875,1.862645149230957e-09,1.0,30,1.4901161193847656e-08,SSL vence
TF-C,rnn,30,23.0712890625,1.862645149230957e-09,1.0,30,1.4901161193847656e-08,SSL vence
TF-C,tstcc,30,0.4332139756944464,0.25343610532581806,0.24301075268817204,18,1.0,n.s.
