metodo,encoder,shots,n,nosso,bench,dif
supervisionado,resnetse5,1,24,54.96066623263889,50.3,4.660666232638896
supervisionado,resnetse5,10,24,71.96334273726852,69.3,2.663342737268522
supervisionado,resnetse5,100,24,77.890625,75.5,2.390625
supervisionado,resnetse5,full,24,80.35671657986111,79.4,0.9567165798611086
supervisionado,tstcc,1,24,46.7503978587963,45.2,1.5503978587962948
supervisionado,tstcc,10,24,62.45081018518518,60.0,2.4508101851851833
supervisionado,tstcc,100,24,75.42335792824075,73.3,2.1233579282407504
supervisionado,tstcc,full,24,76.82165075231482,76.1,0.7216507523148294
supervisionado,cnnpff,1,24,34.13818359375,34.2,-0.06181640625000284
supervisionado,cnnpff,10,24,57.500813802083336,55.4,2.100813802083337
supervisionado,cnnpff,100,24,76.69533058449075,74.6,2.0953305844907533
supervisionado,cnnpff,full,24,79.54987702546296,77.7,1.849877025462959
supervisionado,rnn,1,24,31.648853443287038,31.7,-0.0511465567129612
supervisionado,rnn,10,24,40.89201750578703,40.6,0.29201750578702956
supervisionado,rnn,100,24,65.99482783564815,64.5,1.4948278356481524
supervisionado,rnn,full,24,69.6140769675926,69.1,0.5140769675926009
TF-C,resnetse5,1,24,36.259042245370374,39.6,-3.3409577546296276
TF-C,resnetse5,10,24,71.65156611689815,69.7,1.9515661168981495
TF-C,resnetse5,100,24,81.89561631944444,81.6,0.29561631944444855
TF-C,resnetse5,full,24,82.4537941261574,83.6,-1.1462058738425895
TF-C,tstcc,1,24,47.259928385416664,50.6,-3.340071614583337
TF-C,tstcc,10,24,65.91471354166667,68.5,-2.5852864583333286
TF-C,tstcc,100,24,74.06240957754629,76.4,-2.337590422453715
TF-C,tstcc,full,24,80.03291377314815,79.7,0.3329137731481495
TF-C,cnnpff,1,24,47.454336660879626,45.3,2.154336660879629
TF-C,cnnpff,10,24,76.08913845486111,77.0,-0.9108615451388857
TF-C,cnnpff,100,24,83.10727719907408,85.1,-1.9927228009259181
TF-C,cnnpff,full,24,85.58141637731482,86.1,-0.5185836226851706
TF-C,rnn,1,24,47.79984085648149,44.9,2.8998408564814895
TF-C,rnn,10,24,67.76991102430556,69.5,-1.7300889756944429
TF-C,rnn,100,24,80.40943287037037,78.8,1.6094328703703695
TF-C,rnn,full,24,83.2278103298611,83.7,-0.4721896701389028
LFR,resnetse5,1,24,54.608561197916664,52.4,2.2085611979166657
LFR,resnetse5,10,24,69.41062644675925,70.8,-1.3893735532407447
LFR,resnetse5,100,24,78.3962673611111,75.8,2.596267361111103
LFR,resnetse5,full,24,80.85693359375,79.8,1.0569335937500028
LFR,tstcc,1,24,41.349283854166664,41.2,0.14928385416666146
LFR,tstcc,10,24,67.34519675925925,65.0,2.3451967592592524
LFR,tstcc,100,24,77.33317057291667,75.9,1.4331705729166657
LFR,tstcc,full,24,81.89172815393518,81.3,0.5917281539351791
LFR,cnnpff,1,24,35.22506148726852,37.9,-2.6749385127314795
LFR,cnnpff,10,24,54.674479166666664,55.5,-0.8255208333333357
LFR,cnnpff,100,24,72.49222366898148,71.5,0.992223668981481
LFR,cnnpff,full,24,75.6930881076389,74.0,1.6930881076389
LFR,rnn,1,24,41.236527054398145,41.6,-0.36347294560185617
LFR,rnn,10,24,58.115867332175924,58.7,-0.584132667824079
LFR,rnn,100,24,69.71227575231482,69.2,0.5122757523148209
LFR,rnn,full,24,72.98819082754629,71.3,1.6881908275462933
