encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,uplink_mb,downlink_mb
resnetse5,iid:MotionSense:10,192,2,1,1,MotionSense,0.0,0.0,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,2,MotionSense,0.076171875,0.0801303567345278,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,3,MotionSense,0.3369140625,0.18079637381123403,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,4,MotionSense,0.349609375,0.19026643236374974,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,5,MotionSense,0.349609375,0.19418756814310023,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,6,MotionSense,0.3564453125,0.20803922055231713,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,7,MotionSense,0.36328125,0.22117120465533135,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,8,MotionSense,0.3798828125,0.24392562125199257,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,9,MotionSense,0.400390625,0.27769077145748605,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,10,MotionSense,0.4306640625,0.32292943846832434,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,11,MotionSense,0.4580078125,0.35750751648416695,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,12,MotionSense,0.4814453125,0.3815614611413876,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,13,MotionSense,0.5048828125,0.4042553307695275,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,14,MotionSense,0.541015625,0.43598696321093605,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,15,MotionSense,0.5615234375,0.45354783886148975,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,16,MotionSense,0.5830078125,0.47258601139120904,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,17,MotionSense,0.6064453125,0.49397696156067394,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,18,MotionSense,0.611328125,0.49887071574370206,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,19,MotionSense,0.6201171875,0.5066702993156268,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,20,MotionSense,0.625,0.511313608069689,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,21,MotionSense,0.625,0.5121773312083605,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,22,MotionSense,0.630859375,0.5170835657887943,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,23,MotionSense,0.6337890625,0.520149402420815,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,24,MotionSense,0.6357421875,0.5218131285130806,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,25,MotionSense,0.634765625,0.5211202673406886,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,26,MotionSense,0.6337890625,0.5199840810878297,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,27,MotionSense,0.63671875,0.5227945298893452,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,28,MotionSense,0.63671875,0.527672335605167,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,29,MotionSense,0.6416015625,0.53688841053006,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,30,MotionSense,0.6572265625,0.5674640608654825,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,31,MotionSense,0.673828125,0.5962434866525945,5.230560302734375,5.230560302734375
resnetse5,iid:MotionSense:10,192,2,1,32,MotionSense,0.693359375,0.6261699382001368,5.230560302734375,5.230560302734375
