epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,20,,,,,0.1875,1.5425286293029785
0,20,,,0.1651785671710968,1.6066758632659912,,
1,41,,,,,0.265625,1.4763737916946411
1,41,,,0.2299107164144516,1.4361035823822021,,
2,62,,,,,0.5130208134651184,1.3718806505203247
2,62,,,0.5647321343421936,1.271560549736023,,
3,83,,,,,0.46875,1.4177509546279907
3,83,,,0.7299107313156128,1.1188020706176758,,
4,104,,,,,0.4296875,1.611963152885437
4,104,,,0.7671130895614624,0.964554488658905,,
5,125,,,,,0.4973958432674408,1.3767590522766113
5,125,,,0.7552083134651184,0.8121216297149658,,
6,146,,,,,0.4505208432674408,1.5720449686050415
6,146,,,0.789434552192688,0.6745737791061401,,
7,167,,,,,0.4322916567325592,1.635146141052246
7,167,,,0.7961309552192688,0.5689247250556946,,
8,188,,,,,0.5078125,1.3937087059020996
8,188,,,0.804315447807312,0.4926721453666687,,
9,209,,,,,0.4348958432674408,1.869676947593689
9,209,,,0.8095238208770752,0.4383543133735657,,
10,230,,,,,0.5208333134651184,1.6635822057724
10,230,,,0.808779776096344,0.4099615514278412,,
11,251,,,,,0.5651041865348816,1.6428937911987305
11,251,,,0.8139880895614624,0.39088302850723267,,
12,272,,,,,0.4947916567325592,1.918946623802185
12,272,,,0.8080357313156128,0.38050708174705505,,
13,293,,,,,0.4609375,2.0562198162078857
13,293,,,0.796875,0.3597959280014038,,
14,314,,,,,0.4765625,2.1208314895629883
14,314,,,0.808779776096344,0.3554307222366333,,
15,335,,,,,0.4661458432674408,2.1250555515289307
15,335,,,0.8147321343421936,0.33850350975990295,,
16,356,,,,,0.4401041567325592,2.272477865219116
16,356,,,0.8132440447807312,0.3360446095466614,,
17,377,,,,,0.4375,2.4396352767944336
17,377,,,0.8080357313156128,0.3302001655101776,,
18,398,,,,,0.5130208134651184,2.1366288661956787
18,398,,,0.8139880895614624,0.3205176591873169,,
19,419,,,,,0.46875,2.3639438152313232
19,419,,,0.8169642686843872,0.31284695863723755,,
20,440,,,,,0.4713541567325592,2.4749948978424072
20,440,,,0.8117559552192688,0.3066521883010864,,
21,461,,,,,0.4661458432674408,2.473639726638794
21,461,,,0.828125,0.30094873905181885,,
22,482,,,,,0.4765625,2.4115092754364014
22,482,,,0.8184523582458496,0.30011680722236633,,
23,503,,,,,0.4609375,2.5832126140594482
23,503,,,0.8177083134651184,0.29826244711875916,,
24,524,,,,,0.4765625,2.498962163925171
24,524,,,0.8191964030265808,0.2973412871360779,,
25,545,,,,,0.4661458432674408,2.6787402629852295
25,545,,,0.8251488208770752,0.2937772870063782,,
26,566,,,,,0.5104166865348816,2.7695109844207764
26,566,,,0.8348214030265808,0.29259154200553894,,
27,587,,,,,0.46875,2.7434399127960205
27,587,,,0.819940447807312,0.28913599252700806,,
28,608,,,,,0.4661458432674408,2.7412869930267334
28,608,,,0.8236607313156128,0.2841914892196655,,
29,629,,,,,0.5026041865348816,2.552652359008789
29,629,,,0.8251488208770752,0.28332215547561646,,
30,650,,,,,0.5442708134651184,2.736438751220703
30,650,,,0.8288690447807312,0.2784445881843567,,
31,671,,,,,0.4869791567325592,2.721914291381836
31,671,,,0.8229166865348816,0.27844586968421936,,
32,692,,,,,0.4895833432674408,2.7098047733306885
32,692,,,0.8325892686843872,0.27622437477111816,,
33,713,,,,,0.4895833432674408,2.6083905696868896
33,713,,,0.8221726417541504,0.2737571895122528,,
34,734,,,,,0.484375,2.803086042404175
34,734,,,0.8385416865348816,0.27180880308151245,,
35,755,,,,,0.4765625,2.8457577228546143
35,755,,,0.8392857313156128,0.2702278196811676,,
36,776,,,,,0.4947916567325592,2.70916485786438
36,776,,,0.8377976417541504,0.2679826319217682,,
37,797,,,,,0.4739583432674408,2.9682958126068115
37,797,,,0.8311011791229248,0.26579686999320984,,
38,818,,,,,0.4609375,3.0298116207122803
38,818,,,0.8273809552192688,0.2634583115577698,,
39,839,,,,,0.5260416865348816,3.009941816329956
39,839,,,0.8184523582458496,0.2641858756542206,,
40,860,,,,,0.4817708432674408,2.9445559978485107
40,860,,,0.8333333134651184,0.26451319456100464,,
41,881,,,,,0.4791666567325592,2.950909376144409
41,881,,,0.840029776096344,0.26407772302627563,,
42,902,,,,,0.5494791865348816,3.0237929821014404
42,902,,,0.8340773582458496,0.2576260268688202,,
43,923,,,,,0.5677083134651184,2.9458389282226562
43,923,,,0.8370535969734192,0.25987735390663147,,
44,944,,,,,0.4895833432674408,2.8918521404266357
44,944,,,0.8534226417541504,0.2557675838470459,,
45,965,,,,,0.4869791567325592,2.957759141921997
45,965,,,0.8459821343421936,0.25290894508361816,,
46,986,,,,,0.4791666567325592,3.0104410648345947
46,986,,,0.8258928656578064,0.25749361515045166,,
47,1007,,,,,0.5052083134651184,3.0311238765716553
47,1007,,,0.84375,0.25444307923316956,,
48,1028,,,,,0.5208333134651184,2.8965866565704346
48,1028,,,0.8392857313156128,0.25401952862739563,,
49,1049,,,,,0.4895833432674408,3.0437710285186768
49,1049,,,0.836309552192688,0.25052252411842346,,
50,1070,,,,,0.5234375,3.097485303878784
50,1070,,,0.84375,0.2509092092514038,,
51,1091,,,,,0.5,3.1744229793548584
51,1091,,,0.8653273582458496,0.24911095201969147,,
52,1112,,,,,0.484375,3.126755475997925
52,1112,,,0.835565447807312,0.24966266751289368,,
53,1113,0.640625,1.1942813396453857,,,,
