encoder,dataset,seed,k,n_shots,target,test_acc,test_f1_macro
resnetse5,UCI,0,1,21,UCI,0.815625,0.7901986677051827
resnetse5,UCI,0,2,42,UCI,0.8265625,0.7198889827200111
resnetse5,UCI,0,4,84,UCI,0.90625,0.8962325643743985
resnetse5,UCI,0,full,full,UCI,0.9453125,0.9362188202914812
resnetse5,WISDM,0,1,36,WISDM,0.696484375,0.614027504428515
resnetse5,WISDM,0,2,72,WISDM,0.757421875,0.6934515385489227
resnetse5,WISDM,0,4,144,WISDM,0.746484375,0.7081867180034986
resnetse5,WISDM,0,full,full,WISDM,0.834375,0.8315598814986436
rnn,MotionSense,0,1,17,MotionSense,0.474609375,0.40110828030157936
rnn,MotionSense,0,2,34,MotionSense,0.580078125,0.5250662102647915
rnn,MotionSense,0,4,68,MotionSense,0.7119140625,0.6621534531295629
rnn,MotionSense,0,full,full,MotionSense,0.77734375,0.7529714272799978
rnn,RealWorld_thigh,0,1,10,RealWorld_thigh,0.37743055555555555,0.32128536374936223
rnn,RealWorld_thigh,0,2,20,RealWorld_thigh,0.44930555555555557,0.4219952261629232
rnn,RealWorld_thigh,0,4,40,RealWorld_thigh,0.5451388888888888,0.5181205580106533
rnn,RealWorld_thigh,0,full,full,RealWorld_thigh,0.5541666666666667,0.5519346104741555
rnn,RealWorld_waist,0,1,10,RealWorld_waist,0.348828125,0.30707607226430045
rnn,RealWorld_waist,0,2,20,RealWorld_waist,0.427734375,0.4013279746001877
rnn,RealWorld_waist,0,4,40,RealWorld_waist,0.55,0.4923623652691757
rnn,RealWorld_waist,0,full,full,RealWorld_waist,0.69921875,0.6507608388435153
rnn,UCI,0,1,21,UCI,0.55625,0.4818683759928466
rnn,UCI,0,2,42,UCI,0.6234375,0.5759811425380749
rnn,UCI,0,4,84,UCI,0.8234375,0.7778267054469699
rnn,UCI,0,full,full,UCI,0.859375,0.7799682050529508
rnn,WISDM,0,1,36,WISDM,0.682421875,0.5910795442239867
rnn,WISDM,0,2,72,WISDM,0.71015625,0.6198540258715085
rnn,WISDM,0,4,144,WISDM,0.71328125,0.643346498807491
rnn,WISDM,0,full,full,WISDM,0.73125,0.6611967290054979
tstcc,MotionSense,0,1,17,MotionSense,0.6689453125,0.6053485032368648
tstcc,MotionSense,0,2,34,MotionSense,0.7421875,0.7002261319858357
tstcc,MotionSense,0,4,68,MotionSense,0.73046875,0.6979469358775371
tstcc,MotionSense,0,full,full,MotionSense,0.6533203125,0.5969420792861532
tstcc,RealWorld_thigh,0,1,10,RealWorld_thigh,0.5111111111111111,0.4796898732533083
tstcc,RealWorld_thigh,0,2,20,RealWorld_thigh,0.6295138888888889,0.6250347514439739
tstcc,RealWorld_thigh,0,4,40,RealWorld_thigh,0.6427083333333333,0.618749323111279
tstcc,RealWorld_thigh,0,full,full,RealWorld_thigh,0.7163194444444444,0.7047727595270249
tstcc,RealWorld_waist,0,1,10,RealWorld_waist,0.5078125,0.45501622233226824
tstcc,RealWorld_waist,0,2,20,RealWorld_waist,0.654296875,0.650751989021035
tstcc,RealWorld_waist,0,4,40,RealWorld_waist,0.675390625,0.6625510210909602
tstcc,RealWorld_waist,0,full,full,RealWorld_waist,0.726953125,0.7249128569611699
tstcc,UCI,0,1,21,UCI,0.81875,0.7368532591183995
tstcc,UCI,0,2,42,UCI,0.8375,0.8002121658081922
tstcc,UCI,0,4,84,UCI,0.865625,0.7830073489253451
tstcc,UCI,0,full,full,UCI,0.903125,0.8780117413097962
tstcc,WISDM,0,1,36,WISDM,0.7328125,0.6430442133319839
tstcc,WISDM,0,2,72,WISDM,0.783203125,0.7456324838476884
tstcc,WISDM,0,4,144,WISDM,0.776171875,0.7265605603035806
tstcc,WISDM,0,full,full,WISDM,0.8671875,0.8642626219823204
