encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec
rnn,device:WISDM:36,natural,0,5,1,WISDM,0.676171875,0.6404910288627531,0.7154017857142857,0.6526232453855138,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,2,WISDM,0.66328125,0.612173975493499,0.7533482142857143,0.6749383974323809,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,3,WISDM,0.690625,0.6074615047318398,0.7555803571428571,0.6548016390538984,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,4,WISDM,0.694921875,0.6102634300805894,0.7589285714285714,0.6538389438810515,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,5,WISDM,0.70703125,0.6213296336692762,0.7734375,0.6662964362663577,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,6,WISDM,0.719140625,0.6341543751460823,0.7723214285714286,0.6647444309336381,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,7,WISDM,0.724609375,0.6418375342647067,0.7712053571428571,0.6659915652806826,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,8,WISDM,0.72734375,0.6475498113281487,0.7678571428571429,0.6660824616075581,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,9,WISDM,0.730859375,0.6491782409430304,0.7745535714285714,0.6699743306700309,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,10,WISDM,0.73359375,0.6526079615891789,0.7611607142857143,0.6589585493126673,23.480804443359375,23.480804443359375,none,full,0,
rnn,device:WISDM:36,natural,0,5,11,WISDM,0.7328125,0.6500856376991877,0.7466517857142857,0.6449053870622523,23.480804443359375,23.480804443359375,none,full,0,
