epoch,step,train_acc,train_loss,val_acc,val_loss
0,160,,,0.6841517686843872,0.8382131457328796
0,160,0.5838509202003479,1.1187913417816162,,
1,321,,,0.7360491156578064,0.7012776136398315
1,321,0.7560170888900757,0.5677501559257507,,
2,482,,,0.7946428656578064,0.6367145776748657
2,482,0.8136646151542664,0.46343111991882324,,
3,643,,,0.7550223469734192,0.7443272471427917
3,643,0.863062858581543,0.3950122892856598,,
4,804,,,0.8364955186843872,0.5435566306114197
4,804,0.8795613646507263,0.357204407453537,,
5,965,,,0.7338169813156128,0.8428889513015747
5,965,0.8929541707038879,0.32121166586875916,,
6,1126,,,0.73828125,1.2328529357910156
6,1126,0.8976125717163086,0.3053583800792694,,
7,1287,,,0.7890625,0.7209625840187073
7,1287,0.9073175191879272,0.28767678141593933,,
8,1448,,,0.7410714030265808,0.9238249063491821
8,1448,0.9117818474769592,0.2681575417518616,,
9,1609,,,0.8454241156578064,0.5733358263969421
9,1609,0.9111995100975037,0.26305925846099854,,
10,1770,,,0.7890625,0.7116813063621521
10,1770,0.9183812141418457,0.24893373250961304,,
11,1931,,,0.7751116156578064,0.7853599786758423
11,1931,0.9196428656578064,0.23858338594436646,,
12,2092,,,0.8225446343421936,0.6942881345748901
12,2092,0.9229425191879272,0.23453928530216217,,
13,2253,,,0.7516741156578064,0.8659495711326599
13,2253,0.9262422323226929,0.2251139134168625,,
14,2414,,,0.8041294813156128,0.7365232706069946
14,2414,0.9287655353546143,0.21768902242183685,,
15,2575,,,0.75,0.919485867023468
15,2575,0.9344914555549622,0.2073688805103302,,
16,2736,,,0.5870535969734192,1.334996223449707
16,2736,0.9297360181808472,0.21479400992393494,,
17,2897,,,0.8370535969734192,0.5649286508560181
17,2897,0.9336180090904236,0.20054775476455688,,
18,3058,,,0.7823660969734192,0.6873246431350708
18,3058,0.9356560707092285,0.19715926051139832,,
19,3219,,,0.8448660969734192,0.6025533676147461
19,3219,0.9340062141418457,0.1950526088476181,,
20,3380,,,0.7332589030265808,0.9723880887031555
20,3380,0.9405085444450378,0.18139658868312836,,
21,3541,,,0.8510044813156128,0.5650932192802429
21,3541,0.9376940727233887,0.18697072565555573,,
22,3702,,,0.62890625,1.5273133516311646
22,3702,0.9434200525283813,0.17351292073726654,,
23,3863,,,0.7628348469734192,1.0785138607025146
23,3863,0.941187858581543,0.17836539447307587,,
24,4024,,,0.7416294813156128,0.8038530945777893
24,4024,0.9430318474769592,0.17627210915088654,,
25,4185,,,0.8387276530265808,0.6608737707138062
25,4185,0.942255437374115,0.17003792524337769,,
26,4346,,,0.7198660969734192,0.8858100175857544
26,4346,0.9454580545425415,0.1665119081735611,,
27,4507,,,0.77734375,0.7562069296836853
27,4507,0.9455551505088806,0.16773977875709534,,
28,4668,,,0.796875,0.7732491493225098
28,4668,0.949437141418457,0.15953317284584045,,
29,4829,,,0.7075892686843872,1.7765395641326904
29,4829,0.9491459727287292,0.1598588079214096,,
30,4990,,,0.7723214030265808,1.3078471422195435
30,4990,0.9472049474716187,0.16117143630981445,,
31,5151,,,0.7728794813156128,1.0199021100997925
31,5151,0.94972825050354,0.153234601020813,,
32,5312,,,0.6808035969734192,1.1644219160079956
32,5312,0.9539014101028442,0.14674606919288635,,
33,5473,,,0.7416294813156128,0.9137498736381531
33,5473,0.9515721797943115,0.15219981968402863,,
34,5634,,,0.8404017686843872,0.7287394404411316
34,5634,0.9534161686897278,0.14489789307117462,,
35,5795,,,0.6623883843421936,1.4292186498641968
35,5795,0.9487577676773071,0.15372371673583984,,
36,5956,,,0.8041294813156128,0.8707696199417114
36,5956,0.9532220363616943,0.14499101042747498,,
37,6117,,,0.8052455186843872,0.7986508011817932
37,6117,0.953125,0.1427062749862671,,
38,6278,,,0.7232142686843872,1.1041014194488525
38,6278,0.9575892686843872,0.1361369788646698,,
39,6439,,,0.7438616156578064,1.2180885076522827
39,6439,0.957880437374115,0.13735432922840118,,
40,6600,,,0.8063616156578064,0.7997612357139587
40,6600,0.9584627151489258,0.1325511634349823,,
