method,encoder,spec,pretrain_spec,n_shots,seed,target,test_acc,test_f1_macro,protocol
lfr,resnetse5,device:MotionSense:10,in-domain,5,0,MotionSense,0.8603515625,0.8567497877230243,val
lfr,resnetse5,device:MotionSense:10,in-domain,5,1,MotionSense,0.8876953125,0.8864582747671669,val
lfr,resnetse5,device:MotionSense:10,in-domain,5,2,MotionSense,0.869140625,0.8678129106410059,val
lfr,resnetse5,device:MotionSense:10,in-domain,5,3,MotionSense,0.8828125,0.8840076276850656,val
lfr,resnetse5,device:MotionSense:10,in-domain,full,0,MotionSense,0.8583984375,0.8595179298715149,val
lfr,resnetse5,device:MotionSense:10,in-domain,full,1,MotionSense,0.916015625,0.9132249239071788,val
lfr,resnetse5,device:MotionSense:10,in-domain,full,2,MotionSense,0.9111328125,0.9103922821012964,val
lfr,resnetse5,device:MotionSense:10,in-domain,full,3,MotionSense,0.9111328125,0.9115751915739702,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,0,RealWorld_thigh,0.6871527777777777,0.6827341706425617,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,0,MotionSense,0.8681640625,0.8683724896418047,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,1,RealWorld_thigh,0.690625,0.6877574134671679,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,1,MotionSense,0.8701171875,0.8722226841913749,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,2,RealWorld_thigh,0.6836805555555555,0.6822975609662992,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,2,MotionSense,0.8642578125,0.8676313152126184,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,3,RealWorld_thigh,0.6861111111111111,0.6862104401368567,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,10,3,MotionSense,0.8408203125,0.8421470285104005,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,0,RealWorld_thigh,0.6086805555555556,0.6166978317863476,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,0,MotionSense,0.8486328125,0.8482381793638508,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,1,RealWorld_thigh,0.7097222222222223,0.7072461281723368,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,1,MotionSense,0.8173828125,0.8083017948903907,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,2,RealWorld_thigh,0.6940972222222223,0.689120149489599,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,2,MotionSense,0.78515625,0.7786878335927798,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,3,RealWorld_thigh,0.6131944444444445,0.5940767908688082,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,1,3,MotionSense,0.7978515625,0.7876406249098894,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,0,RealWorld_thigh,0.6420138888888889,0.6493092555991103,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,0,MotionSense,0.8603515625,0.860571378928061,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,1,RealWorld_thigh,0.7354166666666667,0.7395725295533438,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,1,MotionSense,0.8427734375,0.8423650916115503,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,2,RealWorld_thigh,0.6892361111111112,0.6786312829909704,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,2,MotionSense,0.7509765625,0.7206414178959154,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,3,RealWorld_thigh,0.7350694444444444,0.7370660841972501,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,2,3,MotionSense,0.787109375,0.7865183599840117,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,0,RealWorld_thigh,0.6704861111111111,0.6695052567574648,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,0,MotionSense,0.859375,0.8596029350920856,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,1,RealWorld_thigh,0.7180555555555556,0.7212224368477239,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,1,MotionSense,0.85546875,0.856553934973785,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,2,RealWorld_thigh,0.6427083333333333,0.6166619275989859,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,2,MotionSense,0.767578125,0.7553929149400765,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,3,RealWorld_thigh,0.6576388888888889,0.6643111957770369,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,5,3,MotionSense,0.830078125,0.8300201837179957,val
lfr,resnetse5,device:RealWorld_thigh+MotionSense:10+10,in-domain,full,0,RealWorld_thigh,0.6888888888888889,0.6958324652555522,val
