epoch,step,train_acc,train_loss,val_acc,val_loss
0,573,,,0.6617445349693298,0.8061684966087341
0,573,0.5602133870124817,0.9816100001335144,,
1,1147,,,0.671531617641449,0.7841495275497437
1,1147,0.7287129759788513,0.6669612526893616,,
2,1721,,,0.7129120826721191,0.7364760041236877
2,1721,0.7647539377212524,0.5890539288520813,,
3,2295,,,0.7273351550102234,0.7198501229286194
3,2295,0.7835910320281982,0.5393728017807007,,
4,2869,,,0.729567289352417,0.7060801982879639
4,2869,0.794098436832428,0.5043781399726868,,
5,3443,,,0.734375,0.7066765427589417
5,3443,0.8018020391464233,0.4782404899597168,,
6,4017,,,0.7366071343421936,0.7164807915687561
6,4017,0.8090973496437073,0.45887863636016846,,
7,4591,,,0.7403846383094788,0.7432151436805725
7,4591,0.8132349848747253,0.4426948130130768,,
8,5165,,,0.6991758346557617,0.7817747592926025
8,5165,0.8178081512451172,0.43219417333602905,,
9,5739,,,0.7096497416496277,0.8246234655380249
9,5739,0.8207480311393738,0.42105597257614136,,
10,6313,,,0.7196085453033447,0.7575002908706665
10,6313,0.8221091032028198,0.41468849778175354,,
11,6887,,,0.7057005763053894,0.8428178429603577
11,6887,0.826709508895874,0.4035113453865051,,
12,7461,,,0.7101648449897766,0.834117591381073
12,7461,0.8287510871887207,0.3974239230155945,,
13,8035,,,0.6991758346557617,0.8385291695594788
13,8035,0.8328070640563965,0.38916707038879395,,
14,8609,,,0.729223906993866,0.8556848168373108
14,8609,0.8362369537353516,0.38417842984199524,,
15,9183,,,0.692651093006134,0.9727193117141724
15,9183,0.8387957215309143,0.37656837701797485,,
16,9757,,,0.6978021860122681,0.89982008934021
16,9757,0.8415995240211487,0.37060612440109253,,
17,10331,,,0.6981456279754639,0.9799355864524841
17,10331,0.8450294137001038,0.36379197239875793,,
