encoder,spec,budget,seed,local_epochs,round,target,test_acc,test_f1_macro,val_acc,val_f1_macro,uplink_mb,downlink_mb,method,n_shots,pretrain_rounds,pretrain_spec,lr
tstcc,device:RealWorld_thigh:10,natural,0,5,1,RealWorld_thigh,0.30486111111111114,0.16259118723849608,0.34542410714285715,0.17934094091899647,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,2,RealWorld_thigh,0.3350694444444444,0.21606446048467862,0.3794642857142857,0.23620821187062488,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,3,RealWorld_thigh,0.378125,0.2864005418603036,0.41127232142857145,0.29773059924716005,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,4,RealWorld_thigh,0.4361111111111111,0.3591767729210574,0.4760044642857143,0.39046828397083594,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,5,RealWorld_thigh,0.47708333333333336,0.42636885864059715,0.4838169642857143,0.4101792782237228,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,6,RealWorld_thigh,0.5638888888888889,0.5075475305711229,0.5915178571428571,0.5127191268440487,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,7,RealWorld_thigh,0.5458333333333333,0.4686273139840739,0.57421875,0.4783766061682224,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,8,RealWorld_thigh,0.5065972222222223,0.4238667387302249,0.4955357142857143,0.40789967133442584,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,9,RealWorld_thigh,0.5670138888888889,0.5135102070275498,0.5881696428571429,0.5122115650528265,127.09030151367188,127.09030151367188,none,4,0,,0.001
tstcc,device:RealWorld_thigh:10,natural,0,5,10,RealWorld_thigh,0.5045138888888889,0.41961672982173953,0.5145089285714286,0.42237644411179076,127.09030151367188,127.09030151367188,none,4,0,,0.001
